----- BEGIN OF DATA -----
Submissions by [name_of_user] in contest [SPOJ].  DoI: 2013-03-28 06:42:28.
/------------------------------------------------------------------------------\
|   ID    |        DATE         |  PROBLEM  |  RESULT   | TIME  |  MEM   | LNG |
|---------|---------------------|-----------|-----------|-------|--------|-----|
| 2943759 | 2009-11-09 15:58:14 |   RNO_DOD |        AC |  0.00 |   1996 | PAS |
| 2943749 | 2009-11-09 15:54:25 |   RNO_DOD |        CE |  0.00 |      0 |   C |
| 2943742 | 2009-11-09 15:53:17 |   RNO_DOD |        CE |  0.00 |      0 |   C |
| 2943742 | 2009-11-09 15:53:17 |   RNO_DOD |        CE |  0.00 |      0 |   C |
| 2943742 | 2009-11-09 15:53:17 |   RNO_DOD |        CE |  0.00 |      0 |   C |
| 2943742 | 2009-11-09 15:53:17 |   RNO_DOD |        CE |  0.00 |      0 |   C |
| 2943742 | 2009-11-09 15:53:17 |   RNO_DOD |        CE |  0.00 |      0 |   C |
| 2943742 | 2009-11-09 15:53:17 |   RNO_DOD |        CE |  0.00 |      0 |   C |
| 2943742 | 2009-11-09 15:53:17 |   RNO_DOD |        CE |  0.00 |      0 |   C |
| 2943742 | 2009-11-09 15:53:17 |   RNO_DOD |        CE |  0.00 |      0 |   C |
| 2943742 | 2009-11-09 15:53:17 |   RNO_DOD |        CE |  0.00 |      0 |   C |
| 2943742 | 2009-11-09 15:53:17 |   RNO_DOD |        CE |  0.00 |      0 |   C |
| 2943742 | 2009-11-09 15:53:17 |   RNO_DOD |        CE |  0.00 |      0 |   C |
| 2943759 | 2009-11-09 15:58:14 |   ASD_WEG |        AC |  0.00 |   1996 | PAS |
| 2943749 | 2009-11-09 15:54:25 |   ASD_WEG |        CE |  0.00 |      0 |   C |
| 2943742 | 2009-11-09 15:53:17 |   ASD_WEG |        CE |  0.00 |      0 |   C |
| 2943742 | 2009-11-09 15:53:17 |   ASD_WEG |        CE |  0.00 |      0 |   C |
| 2943742 | 2009-11-09 15:53:17 |   ASD_WEG |        CE |  0.00 |      0 |   C |
| 2943742 | 2009-11-09 15:53:17 |   ASD_WEG |        CE |  0.00 |      0 |   C |
| 2943742 | 2009-11-09 15:53:17 |   ASD_WEG |        CE |  0.00 |      0 |   C |
| 2943742 | 2009-11-09 15:53:17 |   ASD_WEG |        CE |  0.00 |      0 |   C |
| 2943742 | 2009-11-09 15:53:17 |   ASD_WEG |        CE |  0.00 |      0 |   C |
| 2943742 | 2009-11-09 15:53:17 |   ASD_WEG |        CE |  0.00 |      0 |   C |
| 2943742 | 2009-11-09 15:53:17 |   ASD_WEG |        CE |  0.00 |      0 |   C |
| 2943742 | 2009-11-09 15:53:17 |   ASD_WEG |        CE |  0.00 |      0 |   C |
| 2943742 | 2009-11-09 15:53:17 |   ASD_WEG |        CE |  0.00 |      0 |   C |
| 2943742 | 2009-11-09 15:53:17 |   ASD_WEG |        CE |  0.00 |      0 |   C |
\------------------------------------------------------------------------------/
